PictureFile,Item,Tag
turkey.png,turkey,5
snail.png,snail,4
rainbow.png,rainbow,7
spoon.png,spoon,6
pear.png,pear,5
pool.png,pool,4
hair.png,hair,7
balloon.png,balloon,5
elephant.png,elephant,2
pants.png,pants,3
wing.png,wing,7
bandage.png,bandage,1
bathtub.png,bathtub,7
crown.png,crown,4
vase.png,vase,1
puzzle.png,puzzle,1
bus.png,bus,1
cherry.png,cherry,3
cup.png,cup,5
plug.png,plug,2
medal.png,medal,6
castle.png,castle,5
ear.png,ear,1
hammer.png,hammer,2
stroller.png,stroller,2
ashtray.png,ashtray,5
mop.png,mop,7
screw.png,screw,5
tree.png,tree,3
shower.png,shower,3
trumpet.png,trumpet,7
pipe.png,pipe,4
skeleton.png,skeleton,3
cookie.png,cookie,6
potato.png,potato,5
bomb.png,bomb,6
rope.png,rope,5
tire.png,tire,4
flute.png,flute,2
map.png,map,3
nose.png,nose,3
skirt.png,skirt,6
hand.png,hand,6
finger.png,finger,5
dolphin.png,dolphin,5
train.png,train,3
kite.png,kite,4
camel.png,camel,3
apple.png,apple,1
telescope.png,telescope,1
racket.png,racket,2
ant.png,ant,3
boot.png,boot,1
giraffe.png,giraffe,7
fence.png,fence,5
hose.png,hose,4
shark.png,shark,6
knife.png,knife,6
house.png,house,1
circle.png,circle,2
pyramid.png,pyramid,3
penguin.png,penguin,2
pencil.png,pencil,4
backpack.png,backpack,7
pillow.png,pillow,7
safetypin.png,safetypin,7
bench.png,bench,4
thread.png,thread,2
ship.png,ship,7
flag.png,flag,7
fox.png,fox,1
refrigerator.png,refrigerator,2
rooster.png,rooster,1
city.png,city,2
window.png,window,5
mailbox.png,mailbox,7
lamp.png,lamp,2
butterfly.png,butterfly,7
cage.png,cage,3
music.png,music,6
bow.png,bow,3
frog.png,frog,3
hippopotamus.png,hippopotamus,7
bell.png,bell,6
needle.png,needle,7
bridge.png,bridge,6
door.png,door,2
island.png,island,6
sun.png,sun,7
grasshopper.png,grasshopper,3
milk.png,milk,2
beard.png,beard,2
horse.png,horse,3
church.png,church,7
cane.png,cane,5
garbage.png,garbage,5
drawer.png,drawer,3
duck.png,duck,6
man.png,man,5
lock.png,lock,1
vest.png,vest,4
chess.png,chess,6
fork.png,fork,4
handcuffs.png,handcuffs,1
mountain.png,mountain,4
banana.png,banana,4
hanger.png,hanger,5
lips.png,lips,2
ladder.png,ladder,4
bone.png,bone,5
strawberry.png,strawberry,1
bird.png,bird,2
scarf.png,scarf,1
star.png,star,4
egg.png,egg,4
kangaroo.png,kangaroo,3
onion.png,onion,2
sweater.png,sweater,6
mixer.png,mixer,1
cube.png,cube,6
camera.png,camera,6
coffeepot.png,coffeepot,4
mouse.png,mouse,6
skis.png,skis,1
aquarium.png,aquarium,3
shoulder.png,shoulder,3
mirror.png,mirror,5
tank.png,tank,4
heel.png,heel,6
wine.png,wine,1
orange.png,orange,4
chimney.png,chimney,2
diaper.png,diaper,1
zebra.png,zebra,2
scorpion.png,scorpion,4
table.png,table,7
chair.png,chair,1
rhinoceros.png,rhinoceros,6
tail.png,tail,7
truck.png,truck,5
